fecha,dia_semana,mes,bloque_hora,zona_id,tipo_emergencia,cantidad_emergencias,recursos_utilizados,timestamp
2025-09-09,1,9,0,CON-CEN,10-0,0,0,2025-09-09 00:00:00
2025-09-09,1,9,3,CON-CEN,10-0,1,7,2025-09-09 03:00:00
2025-09-09,1,9,6,CON-CEN,10-0,0,0,2025-09-09 06:00:00
2025-09-09,1,9,9,CON-CEN,10-0,0,0,2025-09-09 09:00:00
2025-09-09,1,9,12,CON-CEN,10-0,0,0,2025-09-09 12:00:00
2025-09-09,1,9,15,CON-CEN,10-0,0,0,2025-09-09 15:00:00
2025-09-09,1,9,18,CON-CEN,10-0,0,0,2025-09-09 18:00:00
2025-09-09,1,9,21,CON-CEN,10-0,0,0,2025-09-09 21:00:00
2025-09-10,2,9,0,CON-CEN,10-0,0,0,2025-09-10 00:00:00
2025-09-10,2,9,3,CON-CEN,10-0,0,0,2025-09-10 03:00:00
2025-09-10,2,9,6,CON-CEN,10-0,0,0,2025-09-10 06:00:00
2025-09-10,2,9,9,CON-CEN,10-0,0,0,2025-09-10 09:00:00
2025-09-10,2,9,12,CON-CEN,10-0,0,0,2025-09-10 12:00:00
2025-09-10,2,9,15,CON-CEN,10-0,0,0,2025-09-10 15:00:00
2025-09-10,2,9,18,CON-CEN,10-0,0,0,2025-09-10 18:00:00
2025-09-10,2,9,21,CON-CEN,10-0,0,0,2025-09-10 21:00:00
2025-09-11,3,9,0,CON-CEN,10-0,0,0,2025-09-11 00:00:00
2025-09-11,3,9,3,CON-CEN,10-0,0,0,2025-09-11 03:00:00
2025-09-11,3,9,6,CON-CEN,10-0,0,0,2025-09-11 06:00:00
2025-09-11,3,9,9,CON-CEN,10-0,0,0,2025-09-11 09:00:00
2025-09-11,3,9,12,CON-CEN,10-0,0,0,2025-09-11 12:00:00
2025-09-11,3,9,15,CON-CEN,10-0,0,0,2025-09-11 15:00:00
2025-09-11,3,9,18,CON-CEN,10-0,0,0,2025-09-11 18:00:00
2025-09-11,3,9,21,CON-CEN,10-0,0,0,2025-09-11 21:00:00
