fecha,dia_semana,mes,bloque_hora,zona_id,tipo_emergencia,cantidad_emergencias,recursos_utilizados,timestamp
2025-05-12,0,5,0,CON-CEN,10-0,0,0,2025-05-12 00:00:00
2025-05-12,0,5,3,CON-CEN,10-0,0,0,2025-05-12 03:00:00
2025-05-12,0,5,6,CON-CEN,10-0,0,0,2025-05-12 06:00:00
2025-05-12,0,5,9,CON-CEN,10-0,0,0,2025-05-12 09:00:00
2025-05-12,0,5,12,CON-CEN,10-0,0,0,2025-05-12 12:00:00
2025-05-12,0,5,15,CON-CEN,10-0,1,1,2025-05-12 15:00:00
2025-05-12,0,5,18,CON-CEN,10-0,0,0,2025-05-12 18:00:00
2025-05-12,0,5,21,CON-CEN,10-0,0,0,2025-05-12 21:00:00
2025-05-13,1,5,0,CON-CEN,10-0,0,0,2025-05-13 00:00:00
2025-05-13,1,5,3,CON-CEN,10-0,0,0,2025-05-13 03:00:00
2025-05-13,1,5,6,CON-CEN,10-0,0,0,2025-05-13 06:00:00
2025-05-13,1,5,9,CON-CEN,10-0,0,0,2025-05-13 09:00:00
2025-05-13,1,5,12,CON-CEN,10-0,0,0,2025-05-13 12:00:00
2025-05-13,1,5,15,CON-CEN,10-0,0,0,2025-05-13 15:00:00
2025-05-13,1,5,18,CON-CEN,10-0,0,0,2025-05-13 18:00:00
2025-05-13,1,5,21,CON-CEN,10-0,0,0,2025-05-13 21:00:00
2025-05-14,2,5,0,CON-CEN,10-0,0,0,2025-05-14 00:00:00
2025-05-14,2,5,3,CON-CEN,10-0,0,0,2025-05-14 03:00:00
2025-05-14,2,5,6,CON-CEN,10-0,0,0,2025-05-14 06:00:00
2025-05-14,2,5,9,CON-CEN,10-0,0,0,2025-05-14 09:00:00
2025-05-14,2,5,12,CON-CEN,10-0,0,0,2025-05-14 12:00:00
2025-05-14,2,5,15,CON-CEN,10-0,0,0,2025-05-14 15:00:00
2025-05-14,2,5,18,CON-CEN,10-0,0,0,2025-05-14 18:00:00
2025-05-14,2,5,21,CON-CEN,10-0,0,0,2025-05-14 21:00:00
2025-05-15,3,5,0,CON-CEN,10-0,0,0,2025-05-15 00:00:00
2025-05-15,3,5,3,CON-CEN,10-0,0,0,2025-05-15 03:00:00
2025-05-15,3,5,6,CON-CEN,10-0,0,0,2025-05-15 06:00:00
2025-05-15,3,5,9,CON-CEN,10-0,0,0,2025-05-15 09:00:00
2025-05-15,3,5,12,CON-CEN,10-0,0,0,2025-05-15 12:00:00
2025-05-15,3,5,15,CON-CEN,10-0,0,0,2025-05-15 15:00:00
2025-05-15,3,5,18,CON-CEN,10-0,0,0,2025-05-15 18:00:00
2025-05-15,3,5,21,CON-CEN,10-0,0,0,2025-05-15 21:00:00
2025-05-16,4,5,0,CON-CEN,10-0,0,0,2025-05-16 00:00:00
2025-05-16,4,5,3,CON-CEN,10-0,0,0,2025-05-16 03:00:00
2025-05-16,4,5,6,CON-CEN,10-0,0,0,2025-05-16 06:00:00
2025-05-16,4,5,9,CON-CEN,10-0,0,0,2025-05-16 09:00:00
2025-05-16,4,5,12,CON-CEN,10-0,1,2,2025-05-16 12:00:00
2025-05-16,4,5,15,CON-CEN,10-0,0,0,2025-05-16 15:00:00
2025-05-16,4,5,18,CON-CEN,10-0,0,0,2025-05-16 18:00:00
2025-05-16,4,5,21,CON-CEN,10-0,0,0,2025-05-16 21:00:00
2025-05-17,5,5,0,CON-CEN,10-0,0,0,2025-05-17 00:00:00
2025-05-17,5,5,3,CON-CEN,10-0,0,0,2025-05-17 03:00:00
2025-05-17,5,5,6,CON-CEN,10-0,0,0,2025-05-17 06:00:00
2025-05-17,5,5,9,CON-CEN,10-0,0,0,2025-05-17 09:00:00
2025-05-17,5,5,12,CON-CEN,10-0,0,0,2025-05-17 12:00:00
2025-05-17,5,5,15,CON-CEN,10-0,0,0,2025-05-17 15:00:00
2025-05-17,5,5,18,CON-CEN,10-0,0,0,2025-05-17 18:00:00
2025-05-17,5,5,21,CON-CEN,10-0,0,0,2025-05-17 21:00:00
2025-05-18,6,5,0,CON-CEN,10-0,0,0,2025-05-18 00:00:00
